Site,Species,Worm,Deer,Dry.Year.gm2,Standard.exchange.P.20,Standard.Total.P.20,SoilN.20Pool,P.Exch.Conc  ,P.Total.Conc  ,SoilN,Height,Dry.mass.above,Survival,L.4.L,Arbuscules,Vesicles,Coil,DSE,DSE.binomial,All.Mycorhizae,Arb.Ves
BOBO,Cornus,0,0,,1.815695601,0.427133269,,,,,8,0.05,0.75,0.592914759,7,7,0,21,1,7,0.5
BOBO,Cornus,0,0,,1.815695601,0.427133269,,,,,8.5,0.05,0.75,0.385825863,,,,,,,   
BOBO,Cornus,0,0,,1.815695601,0.427133269,,,,,8.8,0.08,0.75,0.602423914,1,1,10,0,0,11,0.92
BOBO,Cornus,0,0,,1.815695601,0.427133269,,,,,10.1,,0.75,,,,,,,,   
RW,Cornus,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,10.4,0.07,1,0.555027637,0,0,0,0,0,0,   
RW,Cornus,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,12.5,0.07,1,0.466911478,0,0,0,0,0,0,   
RW,Cornus,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,14.5,0.09,1,0.386496603,0,4,14,0,0,14,0.78
RW,Cornus,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,9.7,0.13,1,0.464602384,,,,,,,   
RW,Cornus,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,10.6,0.08,1,0.401293847,,,,,,,   
RW,Cornus,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,9.5,0.09,1,0.305051862,1,0,2,0,0,3,1
RW,Cornus,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,10.5,0.06,1,0.411735169,11,4,0,8,1,11,0.73
RW,Cornus,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,10.8,0.31,1,0.501742375,6,5,3,0,0,9,0.64
RW,Cornus,0,1,,,,,,,,13.5,0.06,0.25,0.467938823,0,0,12,3,1,12,1
RW,Cornus,0,1,,,,,,,,8.7,,0.25,,,,,,,,   
RW,Cornus,0,1,,,,,,,,7.2,,0.25,,,,,,,,   
RW,Cornus,0,1,,,,,,,,6.2,,0.25,,,,,,,,   
RW,Cornus,0,0,0,0.318370987,0.938638543,0.031134435,1.372932331,1.151859887,0.292293373,9,0.08,0.75,0.532777181,0,0,5,0,0,5,1
RW,Cornus,0,0,0,0.318370987,0.938638543,0.031134435,1.372932331,1.151859887,0.292293373,10.7,0.08,0.75,0.346619742,0,1,10,1,1,10,0.91
RW,Cornus,0,0,0,0.318370987,0.938638543,0.031134435,1.372932331,1.151859887,0.292293373,11.5,0.15,0.75,0.530457898,1,0,6,0,0,7,1
RW,Cornus,0,0,0,0.318370987,0.938638543,0.031134435,1.372932331,1.151859887,0.292293373,7,0.11,0.75,,,,,,,,   
CH,Cornus,1,1,,,,,,,,5.9,0.04,1,0.68115123,19,1,13,0,0,32,0.97
CH,Cornus,1,1,,,,,,,,16,0.13,1,0.344931457,27,6,1,0,0,28,0.82
CH,Cornus,1,1,,,,,,,,9.3,0.18,1,0.397990344,0,1,5,0,0,5,0.83
CH,Cornus,1,1,,,,,,,,9.5,0.19,1,0.331056752,7,3,10,0,0,17,0.85
CH,Cornus,1,0,,,,,,,,10.4,0.03,1,0.625505734,2,2,27,0,0,29,0.94
CH,Cornus,1,0,,,,,,,,5.2,0.1,1,0.436699794,,,,,,,   
CH,Cornus,1,0,,,,,,,,5.6,0.1,1,0.414514402,,,,,,,   
CH,Cornus,1,0,,,,,,,,8.8,0.1,1,0.3221776,15.5,3,8,2.5,1,23.5,0.89
CH,Cornus,0,1,,,,,,,,9,0.09,1,0.54460176,,,,,,,   
CH,Cornus,0,1,,,,,,,,10,0.13,1,0.533293527,0,2,10,0,0,10,0.83
CH,Cornus,0,1,,,,,,,,6.5,0.06,1,0.590553839,2,0,3,1,1,5,1
CH,Cornus,0,1,,,,,,,,8.9,0.18,1,0.450395067,13.5,0,12,0.5,1,25.5,1
CH,Cornus,0,0,,,,,,,,6,0.08,1,0.492748973,0,0.5,2,19.5,1,2,0.8
CH,Cornus,0,0,,,,,,,,13,0.04,1,0.749711803,0,0,21,2,2,21,1
CH,Cornus,0,0,,,,,,,,12.4,0.13,1,0.492724039,0,1,11,4,4,11,0.92
CH,Cornus,0,0,,,,,,,,9.5,0.07,1,0.519296993,4,0.5,12,8.5,1,16,0.97
HH,Cornus,1,1,,,,,,,,10.7,0.11,0.5,0.70343499,31,17,0,0,0,31,0.65
HH,Cornus,1,1,,,,,,,,8.7,0.1,0.5,0.341498143,4,6,27,0,0,31,0.84
HH,Cornus,1,1,,,,,,,,11.6,,0.5,,,,,,,,   
HH,Cornus,1,1,,,,,,,,6.9,,0.5,,,,,,,,   
HH,Cornus,1,0,3.632,0.222057075,0.535234899,1.221060338,0.612030075,0.685644743,0.386935352,9,0.07,1,0.498675851,1,1,2,2.5,1,3,0.75
HH,Cornus,1,0,3.632,0.222057075,0.535234899,1.221060338,0.612030075,0.685644743,0.386935352,15.5,0.05,1,0.585973143,0,2,18,0,0,18,0.9
HH,Cornus,1,0,3.632,0.222057075,0.535234899,1.221060338,0.612030075,0.685644743,0.386935352,10,0.05,1,0.53896993,2,4,4,0,0,6,0.6
HH,Cornus,1,0,3.632,0.222057075,0.535234899,1.221060338,0.612030075,0.685644743,0.386935352,9,0.24,1,0.353137141,1,12,10,0,0,11,0.48
HH,Cornus,0,1,,,,,,,,12.5,0.05,1,0.756285557,7,1.5,1,3.5,1,8,0.84
HH,Cornus,0,1,,,,,,,,7.6,0.08,1,0.615695078,15,8,19,1,1,34,0.81
HH,Cornus,0,1,,,,,,,,11.5,0.09,1,0.616704868,0,9,13,0,0,13,0.59
HH,Cornus,0,1,,,,,,,,9.7,0.14,1,0.683693288,0,0,2,13.5,1,2,1
HH,Cornus,0,0,0,3.941438763,1.265580057,17.43943416,0.496240601,1.590137044,0.385476192,9.5,0.05,1,0.616680333,,,,,,,   
HH,Cornus,0,0,0,3.941438763,1.265580057,17.43943416,0.496240601,1.590137044,0.385476192,9,0.11,1,0.548886278,9,5,19,0,0,28,0.85
HH,Cornus,0,0,0,3.941438763,1.265580057,17.43943416,0.496240601,1.590137044,0.385476192,5.2,0.19,1,0.574296591,16,5.5,1,1,1,17,0.76
